Date,Close,Changes,ChangesRatio,Open,High,Low,Volume,Amount,Marcap
2016/04/12,"1,981.32",10.95,0.56,"1,970.50","1,981.73","1,968.50","387,319","3,944,190,157,129","1,255,329,128,694,698"
2016/04/14,"2,015.93",34.61,1.75,"2,004.15","2,016.03","2,000.83","473,520","6,406,407,579,800","1,276,575,529,784,625"
2016/04/15,"2,014.71",-1.22,-0.06,"2,013.38","2,016.95","2,008.68","317,710","4,523,020,125,867","1,276,212,676,495,883"
2016/04/18,"2,009.10",-5.61,-0.28,"2,001.35","2,009.55","1,998.49","339,248","4,304,947,269,928","1,273,435,355,454,824"
2016/04/19,"2,011.36",2.26,0.11,"2,015.10","2,020.29","2,007.68","401,236","4,465,586,077,190","1,274,155,090,710,912"
2016/04/20,"2,005.83",-5.53,-0.27,"2,017.05","2,023.77","2,005.82","423,964","4,653,338,544,592","1,270,781,209,736,183"
2016/04/21,"2,022.10",16.27,0.81,"2,014.60","2,022.10","2,009.45","392,096","4,783,030,271,309","1,280,902,761,136,806"
2016/04/22,"2,015.49",-6.61,-0.33,"2,014.93","2,017.90","2,010.94","480,471","4,215,697,452,686","1,276,836,007,598,250"
2016/04/25,"2,014.55",-0.94,-0.05,"2,016.05","2,016.65","2,007.18","397,675","4,423,939,876,083","1,276,352,743,526,255"
2016/04/26,"2,019.63",5.08,0.25,"2,013.26","2,021.59","2,011.85","509,282","5,281,100,935,205","1,278,883,150,341,555"
2016/04/27,"2,015.40",-4.23,-0.21,"2,019.31","2,019.86","2,012.75","412,803","5,398,188,945,130","1,276,057,089,060,295"
2016/04/28,"2,000.93",-14.47,-0.72,"2,020.83","2,022.99","1,998.60","341,143","5,460,706,639,665","1,266,323,306,660,220"
2016/04/29,"1,994.15",-6.78,-0.34,"1,998.68","1,999.34","1,983.30","401,063","5,334,757,783,008","1,261,953,135,802,951"
2016/05/02,"1,978.15",-16.0,-0.8,"1,991.84","1,991.84","1,977.03","328,195","3,879,203,851,954","1,248,655,660,097,396"
2016/05/03,"1,986.41",8.26,0.42,"1,988.34","1,989.41","1,979.66","310,492","3,813,503,132,328","1,253,911,676,338,246"
2016/05/04,"1,976.71",-9.7,-0.49,"1,978.24","1,982.38","1,969.22","352,696","5,056,070,457,734","1,248,353,738,248,806"
2016/05/09,"1,967.81",-8.9,-0.45,"1,974.52","1,976.14","1,962.92","342,189","5,303,038,110,246","1,243,495,066,506,640"
2016/05/10,"1,982.50",14.69,0.75,"1,965.86","1,982.50","1,964.90","369,085","4,857,462,732,357","1,252,479,086,613,549"
2016/05/11,"1,980.10",-2.4,-0.12,"1,989.17","1,989.17","1,970.48","398,532","4,451,794,657,743","1,251,635,368,795,648"
2016/05/12,"1,977.49",-2.61,-0.13,"1,973.28","1,981.49","1,970.54","462,882","4,144,195,715,973","1,249,546,728,588,837"
2016/05/13,"1,966.99",-10.5,-0.53,"1,979.97","1,980.45","1,962.77","509,123","4,545,160,416,777","1,242,517,729,680,468"
2016/05/16,"1,967.91",0.92,0.05,"1,961.91","1,970.53","1,961.32","526,718","4,872,477,750,640","1,242,835,129,201,749"
2016/05/17,"1,968.06",0.15,0.01,"1,973.86","1,975.10","1,962.57","597,583","5,521,943,998,291","1,243,839,735,742,740"
2016/05/18,"1,956.73",-11.33,-0.58,"1,962.78","1,964.34","1,945.56","696,273","6,697,755,329,393","1,236,578,880,078,571"
2016/05/19,"1,946.78",-9.95,-0.51,"1,953.91","1,954.29","1,942.48","505,920","5,307,636,163,925","1,230,162,313,882,655"
2016/05/20,"1,947.67",0.89,0.05,"1,943.84","1,951.50","1,940.36","388,052","4,455,609,096,833","1,230,691,699,936,373"
2016/05/23,"1,955.25",7.58,0.39,"1,954.26","1,956.77","1,940.44","399,514","4,062,458,893,161","1,235,645,260,397,495"
2016/05/24,"1,937.68",-17.57,-0.9,"1,951.18","1,951.39","1,937.67","517,076","5,005,498,884,571","1,224,978,780,143,328"
2016/05/25,"1,960.51",22.83,1.18,"1,953.63","1,964.91","1,951.17","656,874","5,456,224,466,344","1,240,305,865,251,554"
2016/05/26,"1,957.06",-3.45,-0.18,"1,965.81","1,967.45","1,955.97","558,264","5,103,802,593,884","1,238,082,335,533,148"
2016/05/27,"1,969.17",12.11,0.62,"1,962.33","1,971.27","1,959.75","523,531","4,911,231,808,142","1,246,219,400,437,271"
2016/05/30,"1,967.13",-2.04,-0.1,"1,969.72","1,970.54","1,955.49","550,503","4,664,445,073,988","1,244,653,363,307,536"
