,코드,종목명
793,049180,셀루메드
794,079940,가비아
795,106240,파인테크닉스
796,091090,세원셀론텍
797,121440,골프존뉴딘홀딩스
798,108790,인터파크
799,008040,사조동아원
800,138490,코오롱플라스틱
801,000320,노루홀딩스
802,003030,세아제강지주
803,060240,룽투코리아
804,053950,경남제약
805,317400,자이에스앤디
806,011810,STX
807,306200,세아제강
808,214430,아이쓰리시스템
809,194370,제이에스코퍼레이션
810,065680,우주일렉트로
811,039570,HDC아이콘트롤스
812,001340,백광산업
813,023600,삼보판지
814,024810,이화전기
815,004770,써니전자
816,042370,비츠로테크
817,100590,머큐리
818,102280,쌍방울
819,005090,삼광글라스
820,004250,NPC
821,003960,사조대림
822,005990,매일홀딩스
823,036580,팜스코
824,005950,이수화학
825,027390,한화갤러리아타임월드
826,278650,노터스
827,077970,STX엔진
828,171120,라이온켐텍
829,111870,삼본전자
830,203690,프로스테믹스
831,100250,진양홀딩스
832,009270,신원
833,014970,삼륭물산
834,075580,세진중공업
835,072870,메가스터디
836,003350,한국화장품제조
837,065060,지엔코
838,248170,샘표식품
839,299900,위지윅스튜디오
840,052420,오성첨단소재
841,241690,유니테크노
842,088290,이원컴포텍
843,004650,창해에탄올
844,001460,BYC
845,241770,메카로
846,011000,진원생명과학
847,095190,이엠코리아
848,104460,동양피엔에프
849,290720,푸드나무
850,037070,파세코
851,002700,신일산업
852,058610,에스피지
853,013990,아가방컴퍼니
854,117580,대성에너지
855,024090,디씨엠
856,131030,디에이치피코리아
857,122640,예스티
858,084010,대한제강
859,101160,월덱스
860,130580,나이스디앤비
861,060230,이그잭스
862,002900,동양물산
863,203650,드림시큐리티
864,016710,대성홀딩스
865,288620,에스퓨얼셀
866,051360,토비스
867,001540,안국약품
868,014160,대영포장
869,072520,제넨바이오
870,259630,엠플러스
871,089140,넥스턴
872,204620,글로벌텍스프리
873,003650,미창석유
874,007720,대명코퍼레이션
875,109960,에이프로젠 H&G
876,011390,부산산업
877,005160,동국산업
878,079370,제우스
879,226330,신테카바이오
880,078590,두올산업
881,000890,보해양조
882,025440,대성엘텍
883,100840,S&TC
884,045060,오공
885,004890,동일산업
886,042420,네오위즈홀딩스
887,013520,화승알앤에이
888,082740,HSD엔진
889,054450,텔레칩스
890,004540,깨끗한나라
891,205100,엑셈
892,290740,액트로
893,251630,브이원텍
894,039830,오로라
895,027740,마니커
896,053590,한국테크놀로지
897,094480,갤럭시아컴즈
898,260930,씨티케이코스메틱스
899,080000,에스엔유
900,108490,로보티즈
901,020760,일진디스플
902,090850,이지웰페어
903,061250,화일약품
904,073110,엘엠에스
905,000390,삼화페인트
906,013570,디와이
907,096240,청담러닝
908,011330,유니켐
909,036890,진성티이씨
910,089470,HDC현대EP
911,065710,서호전기
912,122450,KMH
913,048550,SM C&C
914,038390,레드캡투어
915,041910,에스텍파마
916,021050,서원
917,000490,대동공업
918,073560,우리손에프앤지
919,046940,우원개발
920,238490,힘스
921,036560,영풍정밀
922,124500,아이티센
923,000520,삼일제약
924,138360,에이씨티
925,011320,유니크
926,006380,카프로
927,108380,대양전기공업
928,141000,비아트론
929,151860,KG ETS
930,002760,보락
931,260660,알리코제약
932,005430,한국공항
933,160980,싸이맥스
934,222040,코스맥스엔비티
935,263600,덕우전자
936,053980,오상자이엘
937,138580,비즈니스온
938,073570,WI
939,043220,에이치엘비파워
940,083550,케이엠
941,014530,극동유화
942,004200,고려개발
943,038340,UCI
944,021320,KCC건설
945,239340,줌인터넷
946,073070,에스모
947,200880,서연이화
948,241710,코스메카코리아
949,318010,팜스빌
950,002460,화성산업
951,060310,3S
952,214270,퓨쳐스트림네트웍스
953,000860,강남제비스코
954,093230,이아이디
955,004560,현대비앤지스틸
956,160550,NEW
957,007980,태평양물산
958,009320,대우부품
959,044820,코스맥스비티아이
960,187870,디바이스이엔지
961,008970,동양철관
