,코드,종목명
818,074430,아미노로직스
819,128820,대성산업
820,214260,라파스
821,264450,유비쿼스
822,312610,에이에프더블류
823,091120,이엠텍
824,090360,로보스타
825,008290,원풍물산
826,008700,아남전자
827,083450,GST
828,258610,이더블유케이
829,217730,강스템바이오텍
830,002450,삼익악기
831,131290,티에스이
832,014470,부방
833,090350,노루페인트
834,100700,세운메디칼
835,005740,크라운해태홀딩스
836,044490,태웅
837,049180,셀루메드
838,079940,가비아
839,106240,파인테크닉스
840,091090,세원셀론텍
841,121440,골프존뉴딘홀딩스
842,108790,인터파크
843,008040,사조동아원
844,138490,코오롱플라스틱
845,027360,아주IB투자
846,000320,노루홀딩스
847,003030,세아제강지주
848,060240,룽투코리아
849,053950,경남제약
850,317400,자이에스앤디
851,011810,STX
852,306200,세아제강
853,214430,아이쓰리시스템
854,194370,제이에스코퍼레이션
855,065680,우주일렉트로
856,039570,HDC아이콘트롤스
857,001340,백광산업
858,023600,삼보판지
859,024810,이화전기
860,004770,써니전자
861,042370,비츠로테크
862,100590,머큐리
863,102280,쌍방울
864,005090,삼광글라스
865,004250,NPC
866,003960,사조대림
867,005990,매일홀딩스
868,036580,팜스코
869,005950,이수화학
870,027390,한화갤러리아타임월드
871,278650,노터스
872,077970,STX엔진
873,171120,라이온켐텍
874,111870,삼본전자
875,203690,프로스테믹스
876,100250,진양홀딩스
877,009270,신원
878,014970,삼륭물산
879,075580,세진중공업
880,072870,메가스터디
881,003350,한국화장품제조
882,065060,지엔코
883,248170,샘표식품
884,299900,위지윅스튜디오
885,100790,미래에셋벤처투자
886,052420,오성첨단소재
887,241690,유니테크노
888,088290,이원컴포텍
889,004650,창해에탄올
890,001460,BYC
891,241770,메카로
892,011000,진원생명과학
893,095190,이엠코리아
894,104460,동양피엔에프
895,290720,푸드나무
896,037070,파세코
897,002700,신일산업
898,058610,에스피지
899,013990,아가방컴퍼니
900,117580,대성에너지
901,024090,디씨엠
902,131030,디에이치피코리아
903,122640,예스티
904,084010,대한제강
905,101160,월덱스
906,130580,나이스디앤비
907,030210,KTB투자증권
908,060230,이그잭스
909,002900,동양물산
910,203650,드림시큐리티
911,016710,대성홀딩스
912,288620,에스퓨얼셀
913,051360,토비스
914,001540,안국약품
915,014160,대영포장
916,072520,제넨바이오
917,259630,엠플러스
918,089140,넥스턴
919,204620,글로벌텍스프리
920,003650,미창석유
921,007720,대명코퍼레이션
922,109960,에이프로젠 H&G
923,011390,부산산업
924,005160,동국산업
925,079370,제우스
926,226330,신테카바이오
927,078590,두올산업
928,000890,보해양조
929,025440,대성엘텍
930,100840,S&TC
931,003460,유화증권
932,045060,오공
933,004890,동일산업
934,042420,네오위즈홀딩스
935,013520,화승알앤에이
936,082740,HSD엔진
937,054450,텔레칩스
938,004540,깨끗한나라
939,205100,엑셈
940,290740,액트로
941,251630,브이원텍
942,039830,오로라
943,027740,마니커
944,053590,한국테크놀로지
945,094480,갤럭시아컴즈
946,260930,씨티케이코스메틱스
947,080000,에스엔유
948,108490,로보티즈
949,020760,일진디스플
950,090850,이지웰페어
951,061250,화일약품
952,073110,엘엠에스
953,000390,삼화페인트
954,013570,디와이
955,096240,청담러닝
956,011330,유니켐
957,036890,진성티이씨
958,089470,HDC현대EP
959,065710,서호전기
960,122450,KMH
961,048550,SM C&C
962,038390,레드캡투어
963,041910,에스텍파마
964,021050,서원
965,000490,대동공업
966,073560,우리손에프앤지
967,046940,우원개발
968,238490,힘스
969,036560,영풍정밀
970,124500,아이티센
971,000520,삼일제약
972,138360,에이씨티
973,011320,유니크
974,006380,카프로
975,108380,대양전기공업
976,141000,비아트론
977,151860,KG ETS
978,002760,보락
979,260660,알리코제약
980,005430,한국공항
981,160980,싸이맥스
982,222040,코스맥스엔비티
983,263600,덕우전자
984,053980,오상자이엘
985,138580,비즈니스온
986,073570,WI
987,043220,에이치엘비파워
988,083550,케이엠
989,014530,극동유화
990,004200,고려개발
991,038340,UCI
992,021320,KCC건설
993,239340,줌인터넷
994,073070,에스모
995,200880,서연이화
996,241710,코스메카코리아
997,318010,팜스빌
998,002460,화성산업
999,060310,3S
1000,214270,퓨쳐스트림네트웍스
1001,000860,강남제비스코
1002,093230,이아이디
1003,004560,현대비앤지스틸
1004,160550,NEW
1005,007980,태평양물산
1006,009320,대우부품
1007,044820,코스맥스비티아이
1008,187870,디바이스이엔지
1009,008970,동양철관
1010,046140,SBS콘텐츠허브
1011,011690,유양디앤유
1012,052790,액토즈소프트
1013,072470,우리산업홀딩스
1014,017180,명문제약
1015,242040,나무기술
1016,034590,인천도시가스
1017,048870,시너지이노베이션
1018,149950,아바텍
1019,079960,동양이엔피
1020,034940,조아제약
1021,089890,코세스
1022,006220,제주은행
1023,001570,금양
1024,007210,벽산
1025,067830,세이브존I&C
1026,065510,휴비츠
1027,007680,대원
1028,069510,에스텍
1029,137950,제이씨케미칼
1030,017900,광전자
1031,060590,씨티씨바이오
1032,033830,티비씨
1033,038880,아이에이
1034,115160,휴맥스
1035,144620,코오롱머티리얼
1036,142760,바이오리더스
1037,099220,SDN
1038,066590,우수AMS
1039,035080,인터파크홀딩스
1040,040420,정상제이엘에스
1041,093920,서원인텍
1042,043200,파루
1043,092220,KEC
1044,211270,AP위성
1045,069110,코스온
1046,100090,삼강엠앤티
1047,009470,삼화전기
1048,012800,대창
1049,001290,상상인증권
1050,307930,컴퍼니케이
1051,071460,위니아딤채
1052,179290,엠아이텍
1053,035610,솔본
1054,027710,팜스토리
1055,023000,삼원강재
1056,002360,SH에너지화학
1057,007330,푸른저축은행
1058,094170,동운아나텍
1059,101140,비티원
1060,118000,우리들휴브레인
1061,052670,제일바이오
1062,078000,텔코웨어
1063,217480,에스디생명공학
1064,054800,아이디스홀딩스
1065,066620,국보디자인
1066,083640,인콘
1067,068790,DMS
1068,256940,케이피에스
1069,322510,제이엘케이인스펙션
1070,053300,한국정보인증
1071,003830,대한화섬
1072,092440,기신정기
1073,002720,국제약품
1074,056360,코위버
1075,225190,삼양옵틱스
1076,256840,한국비엔씨
1077,200470,하이셈
1078,014990,인디에프
1079,138610,나이벡
1080,053350,이니텍
1081,038060,루멘스
1082,007540,샘표
1083,025620,제이준코스메틱
1084,060900,케이알피앤이
1085,054210,이랜텍
1086,117670,알파홀딩스
1087,267290,경동도시가스
1088,100220,비상교육
1089,060560,홈센타홀딩스
1090,009200,무림페이퍼
1091,065150,MP그룹
1092,195990,에이비프로바이오
1093,036670,KCI
1094,120240,대정화금
1095,099750,이지케어텍
1096,103590,일진전기
1097,226340,본느
1098,311690,천랩
1099,145210,세화아이엠씨
1100,111110,호전실업
1101,069920,아이에스이커머스
1102,241790,오션브릿지
1103,064290,인텍플러스
1104,005710,대원산업
1105,290120,대유에이피
1106,038680,에스넷
1107,051380,피씨디렉트
1108,067570,엔브이에이치코리아
1109,303030,지니틱스
1110,015710,코콤
1111,019440,세아특수강
1112,010960,삼호개발
1113,173940,에프엔씨엔터
1114,153710,옵티팜
1115,290550,디케이티
1116,014580,백광소재
1117,091340,S&K폴리텍
1118,011370,서한
1119,051160,지어소프트
1120,092070,디엔에프
1121,130660,한전산업
1122,019550,SBI인베스트먼트
1123,033110,코너스톤네트웍스
1124,001750,한양증권
1125,000230,일동홀딩스
1126,049520,유아이엘
1127,001070,대한방직
1128,133750,메가엠디
1129,264900,크라운제과
1130,014100,메디앙스
1131,018310,삼목에스폼
1132,263770,유에스티
1133,080220,제주반도체
1134,090740,연이정보통신
1135,013870,지엠비코리아
1136,065650,메디프론
1137,214330,금호에이치티
1138,187420,제노포커스
1139,137940,넥스트아이
1140,109610,에스와이
1141,004270,남성
1142,120030,조선선재
1143,158430,아톤
1144,091580,상신이디피
1145,014790,한라
1146,016600,큐캐피탈
1147,012200,계양전기
1148,083930,아바코
1149,066980,브레인콘텐츠
1150,010690,화신
1151,078890,가온미디어
1152,004870,티웨이홀딩스
1153,084650,랩지노믹스
1154,053280,예스24
1155,000180,성창기업지주
1156,009440,KC그린홀딩스
1157,064800,필링크
1158,003100,선광
1159,139670,키네마스터
1160,093190,빅솔론
1161,290380,대유
1162,134380,미원화학
1163,263700,케어랩스
1164,056080,유진로봇
1165,114450,KPX생명과학
1166,036260,이매진아시아
1167,009300,삼아제약
1168,080720,한국유니온제약
1169,193250,와이제이엠게임즈
1170,033530,세종공업
1171,055490,테이팩스
1172,031820,콤텍시스템
1173,034300,신세계건설
1174,049480,오픈베이스
1175,017550,수산중공업
1176,022220,정산애강
1177,033320,제이씨현시스템
1178,023450,동남합성
1179,032850,비트컴퓨터
1180,007860,서연
1181,003160,디아이
1182,010820,퍼스텍
1183,131400,액트
1184,065170,넥스트BT
1185,210540,디와이파워
1186,035000,지투알
1187,020710,시공테크
1188,107590,미원홀딩스
1189,036120,SCI평가정보
1190,005110,한창
1191,142280,녹십자엠에스
1192,250930,예선테크
1193,025560,미래산업
1194,083500,에프엔에스테크
1195,263690,디알젬
1196,071280,로체시스템즈
1197,010600,웰바이오텍
1198,039340,한국경제TV
1199,004840,DRB동일
1200,066130,하츠
1201,002880,대유에이텍
1202,053450,세코닉스
1203,185490,아이진
1204,002800,신신제약
